Piwne Podziemie Superduper Session,IPA - Session,3.8
PiwoWarownia Kawko i Mlekosz Nu Pagadi,Stout - Imperial,8
Kingpin Beatnik,IPA,6.3
De Molen Amarillo,IPA - Imperial / Double,9.3
Zamkowy Cieszyn / PiwoWarownia Ziółka Dwa i Cztery Zboża,Spice / Herb / Vegetable,5.5
PiwoWarownia Blada Marija,Sour / Wild Ale,0
PiwoWarownia Kawko i Mlekosz,Stout - Sweet,4.5
Podgórz Luzy rajtuzy,Amber Ale,5
Podgórz / Szałpiw Szał Ciał,Wheat Ale,5
Golem אובך אובך (Owech Hazy DIPA),IPA - Imperial / Double,7.2
Pipeworks Mocha Abduction,Stout - Imperial,10.5
Rockmill Episode 10: Rauchbock,Smoked,6.5
Trzech Kumpli Feelin' Lucky,IPA,6.1
Wild Beer Sleeping Lemons,Grodziskie/Gose/Lichtenhainer,3.6
Brokreacja The Miner,IPA - Black / Dark,6.7
AleSmith Old Numbskull,Barley Wine / Wheat Wine,11
Cigar City Marshal Zhukov's Imperial Stout,Stout - Imperial,11.8
Artezan Coffee Wołga,Stout,5.5
Les Trois Mousquetaires Porter Baltique,Porter - Baltic,10
Brokreacja The Butcher,IPA,7
PiwoWarownia Rumpelszpunt,Abbey Quadrupel / Abt,10.2
Artezan Dodo,IPA - Hazy / New England,6
Ziemia Obiecana Sydnej,IPA,5.8
Bednary Orzeszek,Brown Ale,6.3
Cascade Manhattan NW,Sour / Wild Ale,11.32
Prairie No Chill,Stout - Sweet,5.1
Kormoran Imperium Prunum,Porter - Baltic,11
Pracownia Piwa / Podgórz Baran z Jajem,Porter - Baltic,9.5
Birbant Porter Bałtycki Klasyczny,Porter - Baltic,10.2
Dziki Wschód Kwaśny Olek,Berliner Weisse,3
Bednary Ale Ciacho! Special Edition,Spice / Herb / Vegetable,5
Solipiwko Baltic Abyss,Porter - Baltic,10.3
Prairie Birthday Bomb!,Stout - Imperial,13
Łańcut Trapper,IPA,5.2
PINTA Sangriale,Fruit Beer,4.9
Trzech Kumpli Brew Note,IPA - Black / Dark,4.5
Pracownia Piwa Kwaśne Przygody Wiśnia,Fruit Beer,4.4
Trzech Kumpli Califia,IPA,7
Brooklyn Sorachi Ace,Saison,7.6
Przystanek Tlen Farmhouse Ale,Saison,4.9
Grodzisk / Live Oak Grodziskie Imperialne,Grodziskie/Gose/Lichtenhainer,7
Zamkowy Cieszyn Rye Wine Cieszyńskie,Barley Wine / Wheat Wine,9.9
Schneider Weisse Tap 5 Meine Hopfen-Weisse,Bock - Weizenbock,8.2
Rockmill Mystery,IPA - Black / Dark,7
PINTA Fest Oktober,Oktoberfest / Märzen,5
Tenczynek Pils,Pilsener,5.4
Paulaner Salvator,Bock - Doppelbock,7.9
Nepomucen / Laugar Hogeita Bost,IPA - Imperial / Double,7.5
Piwne Podziemie Take It Easy (Mosaic),Golden Ale / Blond Ale,4.2
Tiny Rebel Stay Puft Imperial Chocolate ,Porter - Imperial / Double,9
Wild Beer Beyond Modus IV,Sour Red / Brown,8
Podgórz Tatraman,Kölsch,5
PINTA Go Deeper,IPA,7.2
Sori Anniversary Barley Wine 2017,Barley Wine / Wheat Wine,11.6
Omnipollo Noa Pecan Mud Cake,Stout - Imperial,11
8 Wired Once Upon a Time in Blenheim,Lambic - Fruited,8.5
PINTA Pszeżytowies,Specialty Grain,3.9
